sentence,aspect,polarity
everyone in this hospital from the staff to the maid is great and they know how to treat their patients well,"['patients', 'hospital', 'maid', 'staff', 'treat']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
"Arthur as Irv at ham hospital ran an Nagar , Madurai has a doctor who engages you in a conversation and tries to take your mind off the pain and he has trained the staff to do so as well","['madurai', 'arthur', 'doctor', 'hospital', 'nagar']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral']"
this hospital has a good team of doctors who will take care of all your needs brilliantly,"['hospital', 'doctors', 'care', 'needs', 'team']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has many Ron owed doctors who visit the clinic and they have world class facilities at the clinic,"['clinic', 'hospital', 'doctors', 'facilities', 'visit']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital is one of the best hops it als because the doctors who work here have an experience of at least a decade,"['hospital', 'doctors', 'als', 'hops', 'experience']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital offers treatment at very low cost and they do the surgery in a very good way,"['hospital', 'surgery', 'treatment', 'cost', 'low']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at park hospital be to hat a Gora kWh we examine your case from all angles and do not just rush you into surgery they will even recommend alternative medicine if required,"['gora', 'surgery', 'hospital', 'doctors', 'medicine']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Positive']"
"the infrastructure at this hospital is great and the a men it , I use and facilities are also amazing","['hospital', 'facilities', 'infrastructure', 'men', 'great']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops it all is a pioneer of innovation and they use the newest and innovative technologies to give their patients the best results,"['patients', 'innovation', 'innovative', 'technologies', 'results']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at this hospital are very professional and they have expertise in their field so there is no need to worry at all,"['hospital', 'doctors', 'worry', 'professional', 'expertise']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"this hospital has a lot of amenities like laboratory , pharmacy a dialysis center and Cath lab and much more which sees to it that the needs of the patients are met no matter what surgery they have come for","['hospital', 'patients', 'dialysis', 'amenities', 'surgery']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital is fully supported with the best technology amenities and facilities so you do not have to worry at all,"['hospital', 'facilities', 'amenities', 'worry', 'technology']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at net Ra need an eye hospital shah pour Gora kWh we examine your case from all angles and do not just rush you into surgery they will even recommend alternative medicine if required,"['gora', 'surgery', 'hospital', 'eye', 'ra']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
this hospital provides a comprehensive range of healthcare services and each and every one of their services is simply brilliant,"['hospital', 'healthcare', 'comprehensive', 'services', 'provides']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
it is a good place to take treatment from,"['treatment', 'place', 'good']","['Neutral', 'Positive', 'Positive']"
